,Account Code,Latitude,Longitude
Saint Luke Institute,12194.1,41.07723695,-74.78902277
SafeNet Holding,12155.1,39.36185253,-74.82230463
S.W. Rodgers,12128.1,38.64744092,-75.60103122
Ruppert Landscape,12086.1,39.70681763,-74.95435619
Rugs Direct,12082.1,41.6217202,-78.91205763
"Rugged Wearhouse, Inc",12081.1,41.61305329,-79.82849549
RTKL Associates,12067.1,40.17095323,-80.1340681
Royall & Company,12053.1,41.2141805,-74.46805918
Rowman & Littlefield Publishing Group,12044.1,41.64819701,-78.250461
Rosetta Stone,12021.1,41.7818022,-79.13840519
Rosenthal Automotive,12019.1,40.76314927,-78.07691896
Ronile,11998.1,38.90812905,-75.93581182
Rockingham Memorial Hospital,11957.1,41.48940733,-79.29572758
Robert H. Smith School of Business,11935.1,38.54527218,-75.93023156
Robbins-Gioia,11932.1,39.66421562,-75.47729072
Roanoke College,11931.1,39.98396671,-75.11020522
Riverside Health System,11911.1,39.71774149,-76.97891555
Richard Bland College,11870.1,39.44952461,-77.53712738
Revolution,11839.1,38.82490752,-76.70187187
RetailData,11832.1,41.00224162,-77.64059082
Remedi Seniorcare,11786.1,41.1773478,-78.51500003
Reimbursement Technologies,11774.1,40.37120238,-79.73064271
RCN Corporation,11690.1,40.97600449,-75.25343681
Ratner Companies,11666.1,39.80528814,-75.13263924
Rappahannock Community College,11662.1,40.79351676,-76.17511194
Randolph-Macon College,11648.1,40.51156527,-75.33832445
Radio One,11604.1,39.1519782,-76.64393536
R.E. Michel Company,11591.1,39.90601609,-75.29952396
Quaker Chemical,11536.1,38.57198493,-75.19007419
QuadraMed,11535.1,41.07062251,-75.18849715
Quadel Consulting Corporation,11534.1,41.0786153,-78.21514191
QSSI,11531.1,40.34586946,-74.36322807
QED Systems,11523.1,40.37192517,-77.4451965
Qbase,11519.1,40.00005628,-80.054051
PropertyRoom.com,11447.1,40.41471849,-75.0891112
ProMetic BioTherapeutics,11442.1,40.48672648,-78.68789719
Progress Printing Plus,11426.1,40.86961749,-78.4437571
Procura Management,11416.1,39.70880724,-77.06539845
Primus Telecommunications,11394.1,39.89818492,-78.51977984
Primatics Financial,11382.1,41.91669329,-76.92401748
Preston Memorial Hospital,11370.1,40.93790874,-77.55604956
Prestige Technologies,11369.1,40.2026766,-79.11802905
Powercon Corporation,11319.1,40.23332539,-80.27720942
Potter Anderson & Corroon,11307.1,40.62031461,-77.47660056
Potomac State College,11305.1,41.10323973,-79.53792145
Portfolio Recovery Associates,11293.1,41.27791549,-79.89131763
Population Services International,11283.1,41.6831255,-78.34401625
Poole & Kent,11280.1,40.55970454,-77.26110915
Polk Audio,11266.1,39.7277489,-74.67249882
Politico,11265.1,38.30183641,-75.72352938
PointRoll,11262.1,41.5757005,-78.19295709
PMA Insurance Group,11246.1,40.50184974,-75.48671596
Plow & Hearth,11235.1,40.87469603,-75.35011271
Pleasant Valley Hospital,11232.1,39.52988069,-76.03828229
PJM Interconnection,11205.1,41.15868876,-74.2892772
PinnacleCare,11180.1,39.80208818,-79.7705734
Piedmont Virginia Community College,11144.1,39.39922325,-77.08230015
PhRMA,11134.1,40.23418899,-74.4752994
Phoenixville Federal Bank & Trust,11133.1,41.61809188,-77.70797122
Phillips Foods,11120.1,41.50686592,-75.60186011
Pet360,11074.1,41.20949505,-75.32271295
Personify,11071.1,41.73763307,-76.26314333
People's Bank Of Marietta,11020.1,39.89902184,-80.51958041
Pentagon Federal Credit Union,11016.1,39.70633984,-75.27897751
Peninsula Regional Medical Center,10993.1,41.10875652,-76.34588534
Peak-Ryzex,10962.1,41.82495715,-78.14411549
PBMares,10939.1,39.06975701,-77.67761553
Paul D. Camp Community College,10922.1,40.69250863,-75.66879576
Patton Boggs,10920.1,38.68748598,-76.06475225
Patterson-Schwartz Real Etate,10918.1,40.86613448,-78.45069684
Patient First,10910.1,39.83859574,-78.91182768
Pan American Health Organization,10831.1,40.82870775,-79.18065875
Palm Restaurant,10820.1,39.9413592,-75.16359788
Page Southerland Page,10807.1,40.77238283,-79.71545691
PAE Inc.,10806.1,39.65516697,-74.52073887
"Otsuka America, Inc.",10718.1,41.97374579,-75.62973941
OTAC,10713.1,39.47161249,-74.38083447
Orleans Homebuilders,10686.1,39.70879954,-77.31024897
Organization of American States,10670.1,41.03248261,-78.02321621
Optical Cable Corporation,10632.1,40.58140371,-77.26712193
OPOWER,10629.1,39.47541213,-75.91222248
Old Dominion Electric,10545.1,40.8619316,-79.07517645
O'Sullivan Films,10448.1,41.46968414,-79.5887671
nTelos,10400.1,40.11492325,-77.12857286
NRECA,10392.1,38.69259808,-77.45869983
Northwestern Human Services,10352.1,40.04986316,-78.1370771
Northwest Federal Credit Union,10346.1,40.82498062,-78.25551614
Northern Virginia Community College,10328.1,38.32780942,-75.60987306
Noblis,10230.1,39.77696898,-80.29534989
NJVC,10222.1,41.53257815,-76.73236749
NILIT,10212.1,41.50784791,-77.60680579
NIH Federal Credit Union,10208.1,41.21012573,-76.81822757
NFL Players Association,10184.1,41.80873666,-79.36892174
Next Century Corporation,10174.1,40.91170663,-79.97539089
New River Electrical Corporation,10112.1,40.10921683,-75.08525427
New Penn Financial,10109.1,41.79115359,-78.12031577
New Horizons Computer Learning Centers,10097.1,41.34733904,-78.49317739
NeuStar,10076.1,40.50372695,-77.37069576
Neovera,10051.1,40.45165591,-75.21898842
NCI Information Systems,10005.1,40.12484925,-76.75312653
NCB Capital Impact,9998.1,40.79041595,-79.37754867
National Student Clearinghouse,9952.1,39.63152885,-74.53882702
National Rehabilitation Hospital,9946.1,41.67993899,-76.4470212
National Quality Forum,9945.1,41.38835606,-75.0810631
National Public Radio,9944.1,40.4031536,-75.51464174
National Automobile Dealers Association,9888.1,40.32961023,-75.80484654
National Association of Letter Carriers,9885.1,40.96247423,-78.81092565
National Association of Broadcasters,9883.1,39.94024043,-80.32811959
Nanticoke Health Services,9852.1,40.88573984,-78.69752163
NAHB,9850.1,38.50735957,-76.85489186
Mythics,9842.1,40.54285272,-79.12250139
MVM,9831.1,40.80099578,-78.4336556
MTR Gaming Group,9780.1,40.33265512,-79.55719327
Mt. Washington Pediatric Health System,9777.1,40.95473391,-79.77788035
Mountwest Community & Technical College,9758.1,41.53410955,-78.2116474
Mountaineer Gas Company,9754.1,39.15974531,-76.9224646
Mountain Manor Treatment Centers,9750.1,38.73085557,-76.96169237
Morris James,9704.1,40.54251135,-74.92273875
Montgomery County Community College,9663.1,38.77694773,-75.64954618
Monongalia General Hospital,9648.1,40.45677711,-77.78900865
Miller & Long,9517.1,38.37796366,-77.07633013
Millennial Media,9512.1,38.8278268,-76.95851333
Miles & Stockbridge,9503.1,42.09264294,-80.02638357
MidAtlantic Farm Credit,9473.1,41.28943951,-80.06394581
Mid-Atlantic Convenience Stores,9466.1,39.99954614,-78.84150897
MicroTech,9461.1,40.61522735,-77.40551566
MicroStrategy,9460.1,41.11596222,-74.5487031
MicroPact,9455.1,40.42599952,-74.85315988
Micro Focus,9448.1,39.46266953,-77.33862935
MHM Services,9418.1,40.74720306,-80.17769444
Metron Aviation,9397.1,39.76769548,-79.25130539
Merscorp,9360.1,40.31821347,-78.70769157
Merrifield Garden Center,9355.1,40.97240657,-75.99549876
Merkle,9351.1,40.12412534,-74.10397095
Meritus Medical Center,9348.1,39.78458581,-74.55809757
Merion Matters,9338.1,39.93014638,-75.52284972
Mercy Medical Center,9324.1,41.911283,-77.10586978
Memorial Hospital of Easton/ Shore Health System,9285.1,40.01453059,-78.98986051
MedRisk Inc.,9247.1,39.41238222,-76.78000538
Medifast,9233.1,39.66437708,-77.68321423
Medical Facilities of America,9223.1,39.7649563,-74.99345203
Media General,9210.1,39.45273927,-77.52385408
Measurement Specialties,9199.1,40.23258285,-78.09375337
McKissack & McKissack,9162.1,39.39746028,-75.01243106
McKenna Long & Aldridge,9155.1,41.76140485,-79.84766622
McKean Defense Group,9153.1,39.4412068,-75.58321617
McGuireWoods,9150.1,39.40236559,-77.58850883
McCready Foundation,9130.1,40.30748805,-78.90916032
Massimo Zanetti Beverage USA,9048.1,41.10739607,-78.34555347
Maryland Pennysaver,9026.1,40.92979112,-74.31171799
Maryland Hospital Association,9025.1,39.76302669,-79.95536324
Mary Washington Healthcare,9023.1,40.07656468,-80.44096388
Marshall University,8998.1,40.94595714,-79.98324288
MAP Communications,8925.1,41.44419279,-80.2469957
M.C. Dean,8809.1,41.25461151,-78.59761079
M & G Electronics,8800.1,38.3278615,-75.72951403
Lunarline,8759.1,41.14304881,-79.31493667
Lumos Networks,8758.1,40.45620506,-75.143701
Lumber Liquidators,8753.1,39.61451803,-76.54246322
Luck Stone,8748.1,40.3502028,-77.65059659
Loudoun Medical Group,8702.1,42.10618035,-79.90488818
Lorien Health Systems,8687.1,40.26194848,-76.18900367
Lore Systems,8683.1,41.41225202,-79.58366525
Lord Fairfax Community College,8681.1,38.90036395,-76.72901325
Longwood University,8672.1,39.78253872,-76.15294756
Logistics Solutions Group,8655.1,40.97371673,-79.07786853
LMI,8635.1,40.49864281,-77.54054985
LivingSocial,8630.1,40.23642651,-76.01496732
LISCR,8609.1,41.43096353,-77.69710642
Liquidity Services,8607.1,40.0548679,-76.15170592
"Lifoam Industries, LLC",8560.1,40.01831662,-76.48901875
Lifenet Health,8544.1,40.12424262,-79.33455277
Liberty University,8526.1,39.97631302,-80.33613149
Liberty Tax,8523.1,39.98658859,-75.62965545
LGS Innovations,8508.1,39.21803891,-75.50928389
Legal & General America Inc.,8443.1,38.83884063,-76.03627661
Lee Technologies,8433.1,40.31407813,-78.69786218
LeClairRyan,8424.1,38.36147013,-75.28748179
LCC International,8405.1,39.89394313,-76.38022267
Lawrence Transportation Systems,8396.1,41.29073533,-77.08153717
Lasership,8371.1,39.76479174,-79.44749237
Lansing Building Products,8349.1,39.92836193,-75.36573562
Langley Federal Credit Union,8344.1,40.30149342,-79.30399694
Lake Research Partners,8292.1,41.33690441,-80.15226077
Kratos Defense & Security Solutions,8207.1,41.41439763,-75.19389448
Klockner Pentaplast of America,8154.1,38.46003344,-76.69763949
King's Daughters Medical Center,8116.1,40.21736869,-79.83243823
Kennedy Krieger Institute,8041.1,41.8380941,-75.43336161
KCI Technologies,7998.1,40.34348695,-74.85431285
Kay Casto & Chaney,7985.1,39.15229395,-74.9157739
Kaiser Permanente - Mid-Atlantic Region,7942.1,39.61118911,-76.20249312
K12,7927.1,40.2573915,-79.01466189
Johnson Mirmiran & Thompson,7871.1,41.54336401,-80.28760707
Johns Hopkins University Applied Physics Labs,7861.1,40.41144452,-78.59305676
John J. Kirlin,7850.1,38.5146419,-77.12772207
JJ Haines,7835.1,40.76685028,-74.27800381
James River Insurance Company,7754.1,39.68810514,-77.5948941
James Madison University,7750.1,40.35164696,-79.58998587
James G. Davis Construction,7748.1,39.68504369,-75.71464726
J. Craig Venter,7687.1,41.4856867,-77.60729459
IssueTrak,7657.1,40.31643558,-77.06143597
Issues & Answers Network,7656.1,41.94660074,-80.07532002
Iron Bow,7635.1,41.24732435,-77.8967439
iPacesetters,7614.1,40.57666177,-76.44610624
Intrexon Corporation,7588.1,39.40535752,-77.14625565
Intersections,7561.1,40.46027607,-75.20317685
International Brotherhood of Teamsters,7534.1,40.97832152,-78.85879173
InterDigital,7515.1,40.62706261,-80.07579099
Integrity Staffing Solutions,7492.1,41.0312383,-79.46139738
Integrity Applications Incorporated,7491.1,40.24138215,-80.08341196
Integreon,7489.1,39.48302366,-75.90782782
Integrated Systems Solutions,7488.1,39.99658071,-75.45921813
InSource Solutions,7459.1,41.02126554,-74.47769112
Inovalon,7451.1,41.15193685,-74.99716562
Inova Health System,7450.1,38.82346265,-75.48492752
InfoReliance,7421.1,40.9316752,-77.10724651
Infilco Degremont,7407.1,41.928458,-76.13751416
InDyne,7405.1,39.84374778,-78.37830101
INDUS Corporation,7402.1,39.51600725,-75.27278456
Incyte Corporation,7375.1,39.32426183,-75.01196521
Imperatis,7358.1,39.64519853,-74.85950843
IMC Global,7347.1,40.59730612,-74.99328482
ILC Dover,7334.1,38.99604957,-76.56040061
IIF Data Solutions,7330.1,41.66464131,-76.92798069
iDirect,7317.1,40.25765598,-76.07953232
iCore Networks,7305.1,40.7554592,-74.45088349
ICMA-RC,7299.1,41.78217252,-75.44302103
ICF,7296.1,41.34906432,-75.01221083
HydroGeoLogic,7272.1,42.00049505,-79.88963917
Hunton & Williams,7245.1,41.88651389,-79.62999778
HSC Pediatric Center,7192.1,40.77090425,-79.44585788
Houghton International,7164.1,40.96150223,-75.30732997
Hostelling International USA,7158.1,39.32142066,-76.30520226
Hospice of the Chesapeake,7148.1,39.78900342,-78.09053987
Hooker Furniture,7119.1,41.15309775,-77.88389636
Homer Laughlin China,7101.1,40.16220728,-75.9564026
Homeland Security Solutions,7097.1,41.36177493,-77.67510496
Holston Medical Group,7074.1,40.57387665,-76.93310257
Holliston,7066.1,40.92296399,-74.91410073
Hogan Lovells,7049.1,41.46862365,-74.91667254
Hitt Contracting,7024.1,40.46358138,-74.38362047
Hilldrup,6994.1,40.26271355,-76.44197583
Hillcrest Labs,6993.1,39.67386306,-76.55068631
Hhhunt,6951.1,40.28494194,-79.70327633
Herald-Mail,6916.1,40.07823425,-75.88969079
Health Market Science,6807.1,41.94423033,-78.81840212
Health Diagnostic Laboratory,6802.1,40.71608529,-76.75580077
Headstrong,6790.1,39.92154095,-79.66726609
HCA Capital Division,6770.1,40.63746211,-79.46246992
Hayward Baker,6760.1,39.35258384,-76.70149716
Hatzel & Buehler,6732.1,40.50429647,-76.61336048
Harris Williams & Co,6697.1,40.48638424,-76.49597201
Harmony Investments,6682.1,40.10891361,-79.4355482
Harleysville Savings Financial Corporation,6677.1,40.0813725,-75.92874459
Hanley Wood,6643.1,41.7170897,-78.38640966
Hampton Roads Transit,6633.1,39.44886316,-76.39848247
Hampton Roads Sanitation District,6632.1,41.68129462,-77.70380681
Halifax Regional Health Systems,6610.1,41.40304881,-79.00206163
Hagerstown Medical Laboratory,6594.1,38.57516461,-76.91362196
Guest Services,6533.1,40.76809607,-79.77317353
Gryphon Technologies,6507.1,40.41591876,-76.82028767
Griffith Energy Services,6478.1,40.23156193,-76.87207001
Griffin Pipe Products,6477.1,39.74192455,-78.86118875
Greer Industries,6467.1,40.58394459,-75.33550486
"Greene, Tweed & Co.",6447.1,39.76886532,-76.37101091
Greenbrier Valley Medical Center,6446.1,40.59232549,-74.36983468
Greater Baltimore Medical Center,6423.1,39.48257001,-76.03648193
Great American Restaurants,6399.1,41.93319343,-77.2155907
Grant Memorial Hospital,6385.1,41.96179429,-80.42432526
Grand Home Furnishings,6358.1,40.36011867,-75.26615757
Grafton City Hospital,6347.1,41.61122427,-75.64257524
GP Strategies Corporation,6336.1,39.94947157,-79.84681974
Goodwin House,6313.1,41.50864099,-79.03986856
Goodwill Industries of the Valleys,6307.1,40.64857875,-77.64794056
Goodwill Industries International,6294.1,41.79302236,-78.04418591
Go-Mart,6254.1,41.86385914,-77.59802805
Globus Medical,6246.1,39.33026347,-75.1658652
GetWellNetwork,6166.1,39.8301932,-79.34147849
Germanna Community College,6158.1,39.82073762,-75.57099451
George Washington University Hospital,6132.1,41.63261714,-78.80508655
George Washington University,6131.1,41.76794972,-77.53693176
George Mason University,6128.1,41.46266006,-80.23480105
General Foam Plastics,6086.1,41.73047345,-80.29277466
General Conference of Seventh-Day Adventists,6079.1,40.9800337,-78.61057305
Geeknet,6054.1,40.08279322,-79.37419239
GEA Process Engineering,6048.1,39.87138416,-77.05592277
GE Intelligent Platforms,6042.1,40.94158414,-79.66427626
Gaudenzia,6024.1,42.04799189,-79.95511365
Gate Gourmet,6013.1,42.0376304,-80.02015219
Gallagher Evelius & Jones,5979.1,41.84995672,-77.98051656
G&B Solutions,5955.1,40.12271135,-76.29925143
FutureCare Health and Management,5949.1,41.0825139,-74.97910308
Fugro EarthData,5927.1,42.09346825,-80.05517369
Fru-Con Construction,5915.1,39.04594003,-75.78793594
FrontStream Payments,5909.1,40.57575223,-79.84241772
FrontierMEDEX,5907.1,41.81736859,-77.38629902
Froehling & Robertson,5900.1,41.92447952,-76.84110568
Frederick Memorial Health System,5851.1,41.75199491,-80.01308404
Fortigent,5772.1,39.41117827,-77.05001344
Fort Washington Medical Center,5767.1,38.83643123,-76.06456102
Fort Myer Construction Corporation,5764.1,40.87499235,-80.00339244
Forrester Construction,5751.1,41.71122669,-77.49074819
FOLIOfn,5710.1,40.11926089,-76.38818391
Fleetmaster Express,5650.1,39.86842697,-80.48828685
Five Guys Enterprises,5636.1,39.21799703,-77.59929365
First Mariner Bank,5552.1,39.76911646,-75.10932579
Fire and Life Safety America,5491.1,38.92095045,-76.99233244
FINRA,5488.1,40.31212652,-79.37405127
"Finnegan, Henderson, Farabow, Garrett & Dunner",5487.1,41.5737801,-80.21658644
Fink's Jewelers,5485.1,40.34909887,-79.03566122
Feld Entertainment,5423.1,39.63699831,-76.85253373
Federal Realty Investment Trust,5400.1,40.66610267,-80.15148561
FBR Capital Markets,5371.1,41.12729303,-78.85818741
Fauquier Health,5364.1,41.15348751,-79.29480731
"Faneuil, Inc.",5331.1,40.61802016,-77.8056498
Fairmont General Hospital,5303.1,39.67113256,-74.51213064
Fairmont Federal Credit Union,5302.1,41.32608128,-76.03206282
Fairfax Radiological Consultants,5297.1,41.89431726,-76.80662022
Fairfax County Water Authority,5296.1,40.08503667,-78.58482366
Facchina Global Services,5287.1,40.2499726,-78.57220299
Exostar,5253.1,40.56447286,-77.62997342
ExecuPharm,5241.1,40.70610635,-78.57775163
Evergreen Enterprises,5214.1,40.17351432,-76.90655741
Euler Hermes,5186.1,40.87978353,-77.46730968
Essentra,5168.1,39.38666632,-75.80325161
Erickson Living,5138.1,41.20654562,-78.15261308
Eramet Marietta,5133.1,41.23947852,-77.77580868
ePlus,5115.1,40.01254404,-74.93279918
EPL Archives,5113.1,41.43166808,-77.9704441
Episcopal Ministries to the Aging,5111.1,41.05826262,-74.5875563
Envision EMI,5094.1,40.48503533,-80.44126055
Enterprise Community Partners,5079.1,39.6492795,-74.65290265
Emergent BioSolutions,4982.1,41.81333634,-77.98001001
Emergency Medicine Associates,4980.1,39.14132731,-75.4200538
Ellucian,4954.1,42.09852336,-80.10982296
Electro-Mechanical Corporation,4921.1,41.42648573,-77.78021771
Educational Systems Federal Credit Union,4876.1,40.28305087,-77.23945767
Educate,4866.1,38.33849239,-77.12372155
Edison Electric Institute,4858.1,40.37749224,-74.77248094
Eastman Credit Union,4803.1,40.44466024,-78.13964107
Eastern Virginia Medical School,4800.1,40.9265016,-76.56935263
Eastern Shore Community College,4799.1,39.34551048,-75.04934362
Eagleville Hospital,4764.1,41.28717073,-80.36734648
EagleBank,4761.1,39.8554208,-75.38706433
E&C Enterprises,4735.1,40.16991367,-78.10627103
DuPont Fabros Technology,4699.1,39.26575013,-77.39535403
Dunbar Armored,4685.1,39.57361198,-76.6767674
Drivestream,4651.1,40.74239145,-78.0025912
Draper Aden Associates,4633.1,41.94829768,-78.22445735
Dover Downs Gaming & Entertainment,4613.1,41.85315421,-80.41435408
Dovel Technologies,4609.1,38.89380487,-75.50380591
Donohoe Hospitality Services,4588.1,41.23039109,-77.79121729
Dominion Enterprises,4573.1,41.11589766,-75.97939927
Dodson Brothers Exterminating Company,4559.1,41.70958323,-77.91137098
Doctors Community Hospital,4552.1,40.31648001,-77.26871925
Divaris Real Estate,4531.1,40.89123668,-76.5151586
DISYS,4530.1,40.24364488,-79.55534591
Dimensions Healthcare System,4496.1,39.70353334,-74.79348279
Digital Management,4483.1,38.52113643,-76.70910583
Didlake,4473.1,38.6906653,-77.02233348
Dickstein Shapiro,4472.1,41.93648991,-78.93932006
Diamond Comics,4458.1,41.33711792,-76.02700594
Dewberry,4439.1,39.97298198,-74.88743407
Development Alternatives,4430.1,41.26507344,-79.52561887
Deltek,4253.1,39.9555167,-77.03656429
Delta Career Education Corporation,4236.1,41.92539981,-75.60138207
Delmarva Foundation,4230.1,39.89516525,-74.24839487
DC Dental Supplies,4166.1,39.24409786,-75.76176808
DB Consulting Group,4164.1,38.9738285,-76.81998782
Davis H Elliot Company,4145.1,41.06713463,-74.71767548
David's Bridal,4142.1,41.9429308,-79.27591481
DavCo Restaurants,4135.1,39.11334849,-76.4503203
DARCARS,4102.1,39.90535162,-79.07564566
Danya International,4100.1,41.01500927,-79.56121787
Danville Regional Health Foundation,4098.1,41.06276488,-79.48618451
Danville Community College,4097.1,39.14881876,-76.24980882
Dabney S. Lancaster Community College,4056.1,41.77218782,-77.51749716
CyberCore Technologies,4026.1,40.86625197,-77.06503978
Cvent,4021.1,40.38315191,-74.15144949
Culpeper Regional Health System,3972.1,38.48420003,-75.30061261
Cuisine Solutions,3964.1,40.18704584,-76.35888607
Crutchfield Corporation,3941.1,40.57300284,-75.79741655
Crowell & Moring,3926.1,40.06337772,-74.41252265
CRAssociates,3866.1,39.19102466,-76.38488613
CQ Roll Call Group,3850.1,41.79777324,-77.33236355
Cowan Systems,3831.1,41.38318373,-78.00874065
Covington & Burling,3829.1,38.6611823,-77.17381994
CoStar Group,3782.1,38.9998767,-75.93341232
CORT Business Services,3764.1,40.64941326,-79.26915667
Corporation Service Company,3758.1,41.30435473,-79.76333897
Corporate Office Properties Trust,3756.1,41.70509662,-77.52095553
Corporate Executive Board,3755.1,41.07912467,-80.0118008
Corman Construction,3742.1,41.19078433,-75.88135265
Coppin State University,3725.1,39.78613619,-74.7856469
Convergence Marketing,3684.1,39.93954803,-76.98383318
Contrack,3681.1,39.87952917,-77.24719684
Conestoga Bank,3622.1,40.70052319,-80.23481229
comScore,3595.1,40.60850748,-75.55270425
Comprehensive Health Services,3579.1,40.27151137,-75.29575938
Community Memorial Healthcenter,3558.1,40.51235176,-75.70554166
Colorcon,3459.1,40.14647835,-80.37500086
Colonial Farm Credit,3444.1,41.64609345,-75.51112477
College of William and Mary,3435.1,40.13695889,-79.20100243
College of Southern Maryland,3430.1,41.76911865,-77.63750646
Cogent Communications,3398.1,41.32316867,-76.22481599
Cobham Management Services,3382.1,40.42142168,-75.45263184
Coakley Williams Construction,3364.1,38.59953789,-77.16726726
CNA,3351.1,39.94583834,-80.07197939
CMI Management,3349.1,39.63539304,-75.88160489
Clear Mountain Bank,3286.1,40.32735191,-77.54555826
Clark Nexsen,3257.1,38.3756398,-76.60881798
Clark Energy,3254.1,39.6828569,-74.82627388
Christiana Care Health System,3001.1,41.4556204,-77.96595772
Christian Broadcasting Networks,2994.1,39.99997484,-76.50857926
Choice Hotels International,2990.1,39.7353771,-77.13906988
Children's National Medical Center,2975.1,40.50636249,-75.40670437
Children's Hospital of the King's Daughters,2969.1,41.6268059,-75.65809286
Children's Hospital of Richmond,2967.1,39.53750579,-75.85476786
Chevy Chase Trust,2927.1,41.11754755,-79.85183247
Chesapeake Regional Medical Center,2918.1,40.65146443,-80.40441607
Chesapeake Employers Insurance Company,2916.1,41.79009929,-76.31069327
Chesapeake Bay Seafood House Associates,2915.1,39.84332922,-78.77835912
Cherry Bekaert & Holland,2912.1,41.23575125,-76.98629471
ChemTreat,2901.1,39.97330421,-80.27381482
Chemonics International,2899.1,41.39309275,-75.49187783
Checkered Flag Motor Car,2885.1,40.99922919,-77.84775437
Charleston Area Medical Center Health System,2861.1,39.14773901,-74.76342512
Chaney Enterprise,2842.1,39.64686111,-75.6349559
Champion Industries,2836.1,41.85514413,-78.53312659
ChainDrugStore.net,2829.1,39.10258792,-75.62934015
Central Virginia Community College,2785.1,41.82232562,-77.86447529
Centra Health,2749.1,40.69420659,-76.74758241
Cato Institute,2677.1,41.88135606,-77.38560777
Carrollton Bank,2594.1,39.32223169,-75.66414476
Carroll Hospital Center,2593.1,39.51127146,-76.06819418
Carroll Community College,2591.1,41.22883147,-77.49045574
Carpenter Co.,2580.1,40.56188788,-78.18629067
Carnegie Institution of Washington,2564.1,41.02589195,-79.90907235
Carfax,2537.1,41.76892048,-79.79997151
Carey International,2536.1,39.39140041,-76.65740248
CardioNet,2499.1,41.46348191,-80.15976736
Cardinal Bank,2489.1,40.41189452,-77.99381602
Capital Caring,2460.1,40.01730341,-79.19938177
Canon Virginia,2442.1,41.2503905,-77.23692527
Camden Clark Memorial Hospital Corporation,2412.1,39.15450671,-74.96258995
Cambridge International,2409.1,40.74644005,-77.49888264
Calvert Memorial Hospital,2400.1,40.7860341,-74.87187821
CALIBRE Systems,2360.1,40.65975061,-79.83474465
Cabell Huntington Hospital,2317.1,41.49666006,-80.11294842
C.F. Sauer Company,2302.1,40.29919119,-75.0377754
C&D Technologies,2297.1,39.8181581,-74.37080171
Burris Logistics,2268.1,41.99476328,-76.85523024
Burke & Herbert Bank & Trust,2253.1,41.78488594,-76.67391815
BuckleySandler,2215.1,40.74902285,-75.92857293
Buck Company,2210.1,39.49572451,-76.39407574
Buchanan General Hospital,2206.1,41.04370966,-74.89434077
Brown Automotive Group,2179.1,41.21481112,-76.58519781
Brown Advisory,2177.1,40.4643632,-74.36705062
Brooks Instrument,2161.1,39.65672633,-77.46431652
Brook Lane Health Services,2149.1,41.97302801,-80.32707644
"BroadSoft, Inc.",2135.1,41.97178232,-80.08823003
Bristol Compressors,2123.1,41.87692391,-79.52865951
Bridgewater Retirement,2100.1,41.87507258,-77.25284447
BrickStreet Insurance,2092.1,38.55708518,-77.14592347
Brickman Group,2091.1,40.2851088,-74.1301121
Breakaway Games,2076.1,39.00267278,-76.8592956
Bowie State University,2024.1,41.37143986,-76.53380631
Bostwick Laboratories,2012.1,41.01741094,-77.34923422
Bond Beebe,1971.1,40.18056841,-77.28575047
"Boies, Schiller & Flexner",1958.1,38.83442533,-75.53486882
Boenning & Scattergood,1954.1,40.55778187,-78.67705303
Bluefield State College,1903.1,38.73284491,-76.63329024
Bluefield Regional Medical Center,1902.1,40.18556302,-79.74433466
Bloomberg BNA,1880.1,38.81241535,-75.27819424
Blackboard,1853.1,40.25771093,-76.78362231
Blackbird Technologies,1852.1,41.98010935,-76.3492593
BioReliance,1823.1,41.76247565,-78.06626427
BIG Inventory,1792.1,39.77838207,-80.43284515
Beyond.com,1771.1,40.8083729,-76.47297071
Berryville Graphics,1743.1,40.83812213,-77.53460167
Beebe Medical Center,1645.1,41.83928563,-79.20257254
BB&T Scott & Stringfellow,1574.1,38.20787221,-76.53618406
Bayhealth Medical Center,1562.1,40.98888886,-74.96087978
Bay Electric Co.,1553.1,38.89215564,-76.08807413
"Bates White, LLC",1536.1,40.47084065,-76.72752093
Bassett Furniture,1532.1,41.28832823,-79.15040917
Bart & Associates,1513.1,41.76054975,-78.99973983
Barclaycard US,1482.1,41.71763496,-77.63591964
Bank-Fund Staff Federal Credit Union,1458.1,38.80812268,-77.04668175
Banctenn Corp,1428.1,41.80681079,-77.62059511
Baltimore Ravens,1420.1,41.65135907,-77.2527031
Baltimore Life Insurance Company,1419.1,41.1694751,-79.60804876
B.F. Saul Company,1364.1,41.6014087,-78.59727433
AWEA,1343.1,40.96439382,-79.12485102
Averett University,1322.1,41.12761561,-79.34700684
Avemco,1317.1,39.86763399,-76.22467357
Avectra,1316.1,41.26408161,-77.42835758
Avalere Health,1306.1,40.41121418,-77.54083635
Augusta Health Care,1257.1,40.96178335,-78.48871247
Audacious Inquiry,1253.1,39.63593831,-75.99720367
Atlantic Media,1213.1,39.70869639,-76.62962994
Atlantic General Hospital,1211.1,41.30088734,-76.39825015
Atlantic Constructors,1210.1,40.7757524,-74.6128377
Atlantic Automotive,1206.1,39.56349905,-76.16154579
Astrum Solar,1187.1,41.31110082,-77.72230347
Apptix,954.1,41.32383848,-75.5871935
Apple Federal Credit Union,938.1,39.70088414,-74.45817816
Apex Systems,916.1,41.56363886,-78.11997455
Apex CoVantage,913.1,38.99331904,-77.01092139
